v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,No. But we'll do medical missions to nigeria,,,
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
ham,Hi msg me:)i'm in office..,,,
ham,Are u coming to the funeral home,,,
ham,Should I head straight there or what,,,
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",,,
ham,Every monday..nxt week vl be completing..,,,
ham,Sweet heart how are you?,,,
ham,I will reach ur home in  &lt;#&gt;  minutes,,,
ham,"Haha get used to driving to usf man, I know a lot of stoners",,,
ham,"Its ok., i just askd did u knw tht no?",,,
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
spam,"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\""""",,,
ham,Hey happy birthday...,,,
ham,Bring tat cd don forget,,,
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,,,
ham,Thanks for understanding. I've been trying to tell sura that.,,,
ham,Surely result will offer:),,,
ham,Or Ì_ go buy wif him then i meet Ì_ later can?,,,
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,,,
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,,,
ham,My sister going to earn more than me da.,,,
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,,,
ham,Just normal only here :),,,
ham,Ok that's great thanx a lot.,,,
ham,Shall i get my pouch?,,,
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,,,
ham,If I get there before you after your ten billion calls and texts so help me god,,,
ham,Blank is Blank. But wat is blank? Lol,,,
ham,As in i want custom officer discount oh.,,,
ham,"Almost there, see u in a sec",,,
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,,,
ham,Yeah get the unlimited,,,
ham,Yup ok thanx...,,,
spam,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),,,
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,,,
ham,"IÛ÷ve got some salt, you can rub it in my open wounds if you like!",,,
ham,Ok... But bag again..,,,
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",,,
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
ham,Which channel:-):-):):-).,,,
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,,,
ham,How much she payed. Suganya.,,,
ham,Compliments to you. Was away from the system. How your side.,,,
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",,,
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,,,
ham,3 pa but not selected.,,,
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,,,
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,,,
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,,,
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",,,
ham,I'm on the bus. Love you,,,
ham,One small prestige problem now.,,,
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",,,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",,,
ham,"Yeah I am, so I'll leave maybe 7ish?",,,
ham,You have got tallent but you are wasting.,,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,,,
ham,Lol great now im getting hungry.,,,
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",,,
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,,,
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
ham,Audrie lousy autocorrect,,,
ham,Oh that was a forwarded message. I thought you send that to me,,,
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",,,
ham,they released another Italian one today and it has a cosign option,,,
ham,R u meeting da ge at nite tmr?,,,
ham,"Whatever, juliana. Do whatever you want.",,,
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,,,
ham,I remain unconvinced that this isn't an elaborate test of my willpower,,,
ham,I'm thinking that chennai forgot to come for auction..,,,
ham,Watching tv lor. Nice one then i like lor.,,,
ham,Can you please send me my aunty's number,,,
ham,Remember to ask alex about his pizza,,,
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",,,
ham,I will come to ur home now,,,
ham,ÌÏ takin linear algebra today?,,,
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,,,
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,,
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),,,
ham,1's finish meeting call me.,,,
ham,Do you know when dad will be back?,,,
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,,
ham,Lol u still feeling sick?,,,
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",,,
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
ham,Jus finish watching tv... U?,,,
ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf,,,
